gene_annotation	policy	eligible_primary	fixed_exact_baseline_sum	baseline_guides_ge10	fixed_best_control	fixed_best_cellular	joint_control_lower	joint_cellular_lower	joint_control_upper	joint_cellular_upper	fixed_best_log2_ratio	joint_gene_unique_log2_ratio	delta_log2	conditional_low	conditional_high
0610007L01RIK	exact	1	780	5	828	951	819	953	819	953	0.17043586811607103	0.1892228982767984	0.018787030160727358	0.1892228982767984	0.1892228982767984
0610007P14RIK	exact	1	436	5	458	630	462	626	462	626	0.4303085457966663	0.408595052981687	-0.02171349281497925	0.408595052981687	0.408595052981687
0610007P22RIK	exact	1	129	5	142	250	136	234	136	234	0.7845825932066052	0.7514208806590249	-0.03316171254758027	0.7514208806590249	0.7514208806590249
0610009B22RIK	exact	1	414	4	435	638	434	628	434	628	0.5227478101673603	0.5032904766696086	-0.019457333497751694	0.5032904766696086	0.5032904766696086
0610009D07RIK	exact	1	423	4	443	237	436	240	436	240	-0.9302726820192527	-0.889210850795897	0.041061831223355716	-0.889210850795897	-0.889210850795897
0610009O20RIK	exact	1	475	5	502	438	496	444	496	444	-0.2258128445580571	-0.18887638963510292	0.03693645492295419	-0.18887638963510292	-0.18887638963510292
0610010F05RIK	exact	1	902	5	929	856	950	868	950	868	-0.1472677097719818	-0.1594268688746583	-0.012159159102676481	-0.1594268688746583	-0.1594268688746583
0610010K14RIK	exact	1	254	3	265	559	261	536	261	536	1.0461601792357413	1.0075011335730815	-0.038659045662659874	1.0075011335730815	1.0075011335730815
0610010O12RIK	exact	1	626	5	651	921	659	893	659	893	0.47095289612607966	0.40882897885344666	-0.062123917272633	0.40882897885344666	0.40882897885344666
0610011F06RIK	exact	1	206	5	218	210	217	213	217	213	-0.08307913737070144	-0.05604542205209937	0.027033715318602068	-0.05604542205209937	-0.05604542205209937
0610011L14RIK	exact	1	264	3	267	409	276	412	276	412	0.5850584694160001	0.5478485479619719	-0.03720992145402824	0.5478485479619719	0.5478485479619719
0610012H03RIK	exact	1	273	5	283	352	286	334	286	334	0.28500843140742793	0.19420498094805702	-0.09080345045937091	0.19420498094805702	0.19420498094805702
0610030E20RIK	exact	1	186	4	197	62	189	62	189	62	-1.689190649338877	-1.629535844445504	0.05965480489337316	-1.629535844445504	-1.629535844445504
0610031J06RIK	exact	1	325	5	335	473	342	462	342	462	0.46778556833170254	0.4040832866192864	-0.06370228171241615	0.4040832866192864	0.4040832866192864
0610037L13RIK	exact	1	216	5	235	146	222	143	222	143	-0.7140924861270344	-0.6620206901145713	0.052071796012463034	-0.6620206901145713	-0.6620206901145713
0610037P05RIK	exact	1	544	5	561	492	563	491	563	491	-0.21842838899336164	-0.2264902847681396	-0.00806189577477795	-0.2264902847681396	-0.2264902847681396
0610040J01RIK	exact	1	515	5	543	454	535	445	535	445	-0.2872658317697014	-0.29472723416483304	-0.0074614023951316555	-0.29472723416483304	-0.29472723416483304
0910001L09RIK	exact	1	789	3	827	722	834	706	834	706	-0.22502781524303797	-0.2694885799651586	-0.044460764722120655	-0.2694885799651586	-0.2694885799651586
1110001J03RIK	exact	1	972	5	1021	751	1023	767	1023	767	-0.4721102857533618	-0.4445385377023681	0.02757174805099366	-0.4445385377023681	-0.4445385377023681
1110002B05RIK	exact	1	719	2	752	508	742	499	742	499	-0.5947098987260633	-0.6011724388322089	-0.006462540106145664	-0.6011724388322089	-0.6011724388322089
1110002N22RIK	exact	1	768	5	801	582	809	549	809	549	-0.48971056154940434	-0.5881776902898338	-0.09846712874042945	-0.5881776902898338	-0.5881776902898338
1110003E01RIK	exact	1	246	3	257	133	257	125	257	125	-0.976998781319526	-1.0661511590563078	-0.08915237773678175	-1.0661511590563078	-1.0661511590563078
1110004E09RIK	exact	1	372	4	382	175	393	172	393	172	-1.1532548082119527	-1.2190333647784541	-0.06577855656650144	-1.2190333647784541	-1.2190333647784541
1110004F10RIK	exact	1	347	5	356	384	365	381	365	381	0.07981543058143946	0.03254555994559399	-0.04726987063584547	0.03254555994559399	0.03254555994559399
1110005A03RIK	exact	1	116	4	131	180	123	183	123	183	0.42766994665836955	0.542002930322036	0.1143329836636664	0.542002930322036	0.542002930322036
1110007C09RIK	exact	1	214	5	224	248	221	247	221	247	0.11726431588464031	0.13085573547545468	0.013591419590814363	0.13085573547545468	0.13085573547545468
1110008F13RIK	exact	1	562	5	591	670	591	651	591	651	0.15159307262818622	0.11012091929184718	-0.04147215333633904	0.11012091929184718	0.11012091929184718
1110008J03RIK	exact	1	266	4	285	184	282	179	282	179	-0.6591360202389457	-0.6835331144159977	-0.024397094177052048	-0.6835331144159977	-0.6835331144159977
1110008L16RIK	exact	1	577	5	605	438	605	395	605	395	-0.49481620818609495	-0.6437153561580361	-0.14889914797194115	-0.6437153561580361	-0.6437153561580361
1110008P14RIK	exact	1	204	2	208	183	217	195	217	195	-0.21353341153794997	-0.1831128843652376	0.030420527172712375	-0.1831128843652376	-0.1831128843652376
1110012J17RIK	exact	1	449	5	469	440	472	445	472	445	-0.12124922966985985	-0.11415498852301197	0.007094241146847882	-0.11415498852301197	-0.11415498852301197
1110012L19RIK	exact	1	1114	5	1167	1503	1182	1458	1182	1458	0.33563622704047974	0.2733791117349212	-0.06225711530555855	0.2733791117349212	0.2733791117349212
1110014N23RIK	exact	1	378	5	396	287	400	275	400	275	-0.49302500080873995	-0.5690160147740517	-0.07599101396531177	-0.5690160147740517	-0.5690160147740517
1110017D15RIK	exact	1	425	4	443	434	445	455	445	455	-0.05884401842316269	0.0027595313436294326	0.06160354976679212	0.0027595313436294326	0.0027595313436294326
1110018G07RIK	exact	1	578	5	597	687	596	678	596	678	0.17315490949477433	0.1565605867871268	-0.01659432270764752	0.1565605867871268	0.1565605867871268
1110018J18RIK	exact	1	274	5	279	305	285	296	285	296	0.09905800603904039	0.025275268246661552	-0.07378273779237883	0.025275268246661552	0.025275268246661552
1110021J02RIK	exact	1	502	4	534	622	522	587	522	587	0.19061779829845352	0.13989172354761795	-0.05072607475083557	0.13989172354761795	0.13989172354761795
1110021L09RIK	exact	1	747	5	768	916	777	922	777	922	0.22482352991261548	0.21744014499329428	-0.007383384919321195	0.21744014499329428	0.21744014499329428
1110031I02RIK	exact	1	219	5	225	348	236	357	236	357	0.598765131676543	0.5668369673898576	-0.031928164286685434	0.5668369673898576	0.5668369673898576
1110032A03RIK	exact	1	340	5	357	537	350	529	350	529	0.559055421874572	0.5659501490452143	0.006894727170642323	0.5659501490452143	0.5659501490452143
1110032A04RIK	exact	1	224	2	226	198	235	200	235	200	-0.21963813383977648	-0.2613909140943619	-0.0417527802545854	-0.2613909140943619	-0.2613909140943619
1110032F04RIK	exact	1	73	2	79	68	74	65	74	65	-0.2441169632603276	-0.2150116098612102	0.029105353399117406	-0.2150116098612102	-0.2150116098612102
1110034A24RIK	exact	1	221	4	234	185	233	176	233	176	-0.3674348268310725	-0.43302045737498057	-0.06558563054390809	-0.43302045737498057	-0.43302045737498057
1110034B05RIK	exact	1	395	3	407	391	414	396	414	396	-0.08705384276389837	-0.09331732672827121	-0.006263483964372846	-0.09331732672827121	-0.09331732672827121
1110034G24RIK	exact	1	401	4	409	599	417	606	417	606	0.5206302108367159	0.5094653568225966	-0.011164854014119263	0.5094653568225966	0.5094653568225966
1110037F02RIK	exact	1	458	5	468	471	478	492	478	492	-0.020057367920589337	0.0123387089212138	0.03239607684180314	0.0123387089212138	0.0123387089212138
1110038D17RIK	exact	1	308	5	320	308	323	261	323	261	-0.08431995840582195	-0.33622085668206514	-0.2519008982762432	-0.33622085668206514	-0.33622085668206514
1110049F12RIK	exact	1	178	2	179	173	184	176	184	176	-0.07831427218128945	-0.0932187237257148	-0.014904451544425351	-0.0932187237257148	-0.0932187237257148
1110051M20RIK	exact	1	407	5	425	652	431	643	431	643	0.5875526788347852	0.547313498105248	-0.04023918072953725	0.547313498105248	0.547313498105248
1110054O05RIK	exact	1	293	4	298	185	316	187	316	187	-0.7155778355805009	-0.7845809949815971	-0.06900315940109614	-0.7845809949815971	-0.7845809949815971
1110057K04RIK	exact	1	702	5	744	660	735	664	735	664	-0.20197937827177118	-0.1757222329151548	0.026257145356616385	-0.1757222329151548	-0.1757222329151548
1110058L19RIK	exact	1	398	4	411	344	417	310	417	310	-0.28565453865383345	-0.45644902007743227	-0.17079448142359882	-0.45644902007743227	-0.45644902007743227
1110059E24RIK	exact	1	563	3	590	325	583	320	583	320	-0.8885456071680206	-0.8936743900251062	-0.005128782857085623	-0.8936743900251062	-0.8936743900251062
1110059G10RIK	exact	1	109	3	112	136	117	139	117	139	0.2497098587663163	0.2183382743276888	-0.0313715844386275	0.2183382743276888	0.2183382743276888
1110059M19RIK	exact	1	498	5	518	440	526	445	526	445	-0.26446806082931096	-0.27027419044029405	-0.005806129610983091	-0.27027419044029405	-0.27027419044029405
1110067D22RIK	exact	1	470	5	483	399	485	387	485	387	-0.3045864774853635	-0.35454107619409125	-0.04995459870872776	-0.35454107619409125	-0.35454107619409125
1190002H23RIK	exact	1	731	5	766	783	761	778	761	778	0.0023813918773040554	0.0025869116552458367	0.00020551977794178123	0.0025869116552458367	0.0025869116552458367
1190002N15RIK	exact	1	236	5	241	158	246	140	246	140	-0.6368064396328651	-0.8402836070934845	-0.2034771674606194	-0.8402836070934845	-0.8402836070934845
1190003J15RIK	exact	1	442	3	457	513	472	517	472	517	0.13732644221029125	0.10197844234175386	-0.035347999868537386	0.10197844234175386	0.10197844234175386
1190003K10RIK	exact	1	335	3	350	317	346	323	346	323	-0.171923943287594	-0.12835573108120535	0.04356821220638865	-0.12835573108120535	-0.12835573108120535
1190005F20RIK	exact	1	657	3	703	427	685	434	685	434	-0.7478920943997717	-0.6870665799013248	0.060825514498446864	-0.6870665799013248	-0.6870665799013248
1190005I06RIK	exact	1	244	5	255	336	264	337	264	337	0.36801712273619663	0.3223536888876685	-0.04566343384852811	0.3223536888876685	0.3223536888876685
1190007I07RIK	exact	1	772	4	804	886	805	872	805	872	0.11076211923874331	0.08600445145394678	-0.02475766778479653	0.08600445145394678	0.08600445145394678
1200009I06RIK	exact	1	363	5	385	626	382	646	382	646	0.6713175584703271	0.7279245312937411	0.05660697282341398	0.7279245312937411	0.7279245312937411
1200011I18RIK	exact	1	750	5	779	1054	787	1065	787	1065	0.40667207615940765	0.40691267357156324	0.0002405974121555965	0.40691267357156324	0.40691267357156324
1200011M11RIK	exact	1	270	5	288	200	284	202	284	202	-0.5542351731270613	-0.5197728354710939	0.0344623376559674	-0.5197728354710939	-0.5197728354710939
1200014J11RIK	exact	1	550	5	566	535	573	540	573	540	-0.11045547200675881	-0.11476495921767377	-0.004309487210914953	-0.11476495921767377	-0.11476495921767377
1200016B10RIK	exact	1	728	5	753	910	762	864	762	864	0.24378541444251534	0.15186253536817193	-0.0919228790743434	0.15186253536817193	0.15186253536817193
1300001I01RIK	exact	1	244	5	254	95	261	87	261	87	-1.4433591089764455	-1.6087221153511118	-0.16536300637466628	-1.6087221153511118	-1.6087221153511118
1300002K09RIK	exact	1	608	5	637	552	641	555	641	555	-0.23571696840392548	-0.23692844463708948	-0.001211476233164005	-0.23692844463708948	-0.23692844463708948
1300010F03RIK	exact	1	463	5	486	440	486	438	486	438	-0.17256387679719704	-0.1791290532728776	-0.006565176475680556	-0.1791290532728776	-0.1791290532728776
1300014I06RIK	exact	1	204	5	217	265	212	259	212	259	0.2584303691315639	0.2590056063963177	0.0005752372647537807	0.2590056063963177	0.2590056063963177
1300017J02RIK	exact	1	778	5	816	819	817	828	817	828	-0.02397502739873495	-0.009983124100492133	0.013991903298242818	-0.009983124100492133	-0.009983124100492133
1300018I17RIK	exact	1	129	3	131	131	136	132	136	132	-0.0292660909364991	-0.07217468240578999	-0.042908591469290894	-0.07217468240578999	-0.07217468240578999
1300018J18RIK	exact	1	329	5	351	463	345	459	345	459	0.3697785586164965	0.38211305996427675	0.012334501347780247	0.38211305996427675	0.38211305996427675
1500001M20RIK	exact	1	1116	5	1146	880	1169	872	1169	872	-0.4101075366860843	-0.4519309161919121	-0.04182337950582782	-0.4519309161919121	-0.4519309161919121
1500002O20RIK	exact	1	399	4	414	326	409	321	409	321	-0.3735552008858187	-0.37831080524956034	-0.004755604363741672	-0.37831080524956034	-0.37831080524956034
1500003O03RIK	exact	1	521	5	536	441	544	440	544	440	-0.31043082404455513	-0.3350561207329921	-0.024625296688436993	-0.3350561207329921	-0.3350561207329921
1500011H22RIK	exact	1	407	4	421	392	428	396	428	396	-0.13210606809959208	-0.14124042934502057	-0.00913436124542849	-0.14124042934502057	-0.14124042934502057
1500015O10RIK	exact	1	654	5	669	559	684	566	684	566	-0.2882120152844157	-0.302240676373883	-0.01402866108946732	-0.302240676373883	-0.302240676373883
1500031L02RIK	exact	1	541	5	570	723	561	734	561	734	0.3135000393065437	0.35821037721917953	0.044710337912635845	0.35821037721917953	0.35821037721917953
1500032L24RIK	exact	1	352	5	370	282	369	292	369	292	-0.42048876593978296	-0.36640383061188314	0.05408493532789982	-0.36640383061188314	-0.36640383061188314
1520402A15RIK	exact	1	548	4	578	627	573	600	573	600	0.08803240879414524	0.0371046687533101	-0.05092774004083514	0.0371046687533101	0.0371046687533101
1600002H07RIK	exact	1	316	4	324	234	333	233	333	233	-0.49789664642026116	-0.543530302411422	-0.045633655991160815	-0.543530302411422	-0.543530302411422
1600002K03RIK	exact	1	1002	5	1038	786	1040	789	1040	789	-0.43024863636546007	-0.4275318848115967	0.0027167515538633613	-0.4275318848115967	-0.4275318848115967
1600012F09RIK	exact	1	100	2	105	54	105	53	105	53	-0.982180954866758	-1.0088982932425372	-0.026717338375779165	-1.0088982932425372	-1.0088982932425372
1600012H06RIK	exact	1	378	5	399	372	393	375	393	375	-0.13022116851495205	-0.09681681892971344	0.03340434958523861	-0.09681681892971344	-0.09681681892971344
1600014C23RIK	exact	0	64	1	67	108	68	113	68	113	0.6554695444571494	0.6992503133938892	0.04378076893673977	0.6992503133938892	0.6992503133938892
1600014K23RIK	exact	1	347	5	360	460	361	462	361	462	0.32393580591401416	0.3261916275160575	0.002255821602043351	0.3261916275160575	0.3261916275160575
1600015I10RIK	exact	1	497	5	511	579	519	574	519	574	0.15080833032464408	0.1159170528054026	-0.03489127751924148	0.1159170528054026	0.1159170528054026
1600016N20RIK	exact	1	399	5	414	346	411	354	411	354	-0.287782840295036	-0.24437289411860846	0.043409946176427516	-0.24437289411860846	-0.24437289411860846
