gene_annotation	policy	eligible_primary	fixed_exact_baseline_sum	baseline_guides_ge10	fixed_best_control	fixed_best_cellular	joint_control_lower	joint_cellular_lower	joint_control_upper	joint_cellular_upper	fixed_best_log2_ratio	joint_gene_unique_log2_ratio	delta_log2	conditional_low	conditional_high
YARS	exact	1	461	5	481	31	477	1	477	1	-3.9633781552800422	-8.343660513138454	-4.3802823578584125	-8.343660513138454	-8.343660513138454
EIF4A3	exact	1	337	4	356	43	354	4	354	4	-3.064080861531659	-6.328982906733703	-3.264902045202044	-6.328982906733703	-6.328982906733703
GM11756	exact	1	159	2	165	11	167	1	167	1	-3.876391541686704	-6.832320875560478	-2.9559293338737738	-6.832320875560478	-6.832320875560478
RPL4	exact	1	354	5	369	50	370	8	370	8	-2.900485162330855	-5.475132981991993	-2.5746478196611378	-5.475132981991993	-5.475132981991993
RPS5	exact	1	606	5	640	13	635	2	635	2	-5.597433349114677	-8.019086311054096	-2.4216529619394187	-8.019086311054096	-8.019086311054096
GM4461	radius_k1	1	214	2	222	210	119	22	565	536	-0.10925119372386316	-2.438279802587573	-2.3290286088637098	-4.680796208596645	2.1373014618392743
GPN3	exact	1	421	5	434	80	442	18	442	18	-2.461561579636282	-4.609346370277909	-2.147784790641627	-4.609346370277909	-4.609346370277909
ZNHIT2	exact	1	101	3	108	6	107	1	107	1	-4.090377605239886	-6.1924964398048035	-2.1021188345649175	-6.1924964398048035	-6.1924964398048035
TERF1	exact	1	135	5	147	6	142	1	142	1	-4.533397517044611	-6.599121699267447	-2.0657241822228363	-6.599121699267447	-6.599121699267447
RPS15	exact	1	140	3	147	20	149	5	149	5	-2.876285230567619	-4.7938361464973065	-1.9175509159296875	-4.7938361464973065	-4.7938361464973065
PRPS1L3	radius_k1	1	344	3	360	425	61	254	570	665	0.20989378150864094	2.0197412497999565	1.8098474682913155	-1.1938273211494854	3.4065142596361526
OLFR1252	radius_k1	1	553	2	567	673	16	60	1329	1625	0.21779146234752686	1.845203026979642	1.6274115646321152	-4.487070915519572	6.5930076303954035
FARSA	exact	1	290	5	312	1	309	0	309	0	-7.7320159697647926	-9.303061690150763	-1.5710457203859702	-9.303061690150763	-9.303061690150763
HIST1H1D	radius_k1	1	162	4	168	88	123	23	240	100	-0.95826532203536	-2.4230444708435397	-1.4647791488081796	-3.3845703230289037	-0.32658163134224816
MCM5	exact	1	391	5	409	119	400	44	400	44	-1.806118924596759	-3.1991910923788116	-1.3930721677820526	-3.1991910923788116	-3.1991910923788116
COX11	exact	1	79	3	82	52	84	20	84	20	-0.6813427875161921	-2.0725935226006	-1.3912507350844079	-2.0725935226006	-2.0725935226006
NRF1	exact	1	307	5	314	8	327	3	327	3	-5.238719456565449	-6.577262265303708	-1.338542808738259	-6.577262265303708	-6.577262265303708
OLFR1418	radius_k1	1	286	3	300	309	100	256	671	892	0.013308327566580277	1.3224972334916263	1.309188905925046	-1.4176946647568873	3.1213905768010344
UTP6	exact	1	374	5	388	144	396	60	396	60	-1.4561111968435303	-2.7415799093658832	-1.285468712522353	-2.7415799093658832	-2.7415799093658832
PPAN	exact	1	218	4	237	1	229	3	229	3	-7.336087293433653	-6.064261512292703	1.2718257811409508	-6.064261512292703	-6.064261512292703
OLFR441	radius_k1	1	283	4	296	345	104	52	615	860	0.19138751490575576	-1.022379705351259	-1.213767220257015	-3.5806356197548337	3.0124061590228215
PPAN	best_k1	1	218	4	237	1	250	3	250	3	-7.336087293433653	-6.190577962074103	1.1455093313595501	-6.190577962074103	-6.190577962074103
PPAN	radius_k1	1	218	4	237	1	250	3	250	3	-7.336087293433653	-6.190577962074103	1.1455093313595501	-6.190577962074103	-6.190577962074103
DPPA5A	best_k1	1	63	2	70	43	462	129	462	129	-0.7258739474865643	-1.8657673586536194	-1.1398934111670551	-1.8657673586536194	-1.8657673586536194
DPPA5A	radius_k1	1	63	2	70	43	462	129	462	129	-0.7258739474865643	-1.8657673586536194	-1.1398934111670551	-1.8657673586536194	-1.8657673586536194
OLFR822	radius_k1	1	873	3	915	807	43	84	1390	1372	-0.21036371715254876	0.9286698494969569	1.1390335666495055	-4.069774684001001	4.950380847107334
LAG3	best_k1	1	132	5	139	58	152	138	152	138	-1.283022683182282	-0.16818935733755938	1.1148333258447225	-0.16818935733755938	-0.16818935733755938
LAG3	radius_k1	1	132	5	139	58	152	138	152	138	-1.283022683182282	-0.16818935733755938	1.1148333258447225	-0.16818935733755938	-0.16818935733755938
GM13103	radius_k1	1	553	4	578	461	25	9	1677	1946	-0.3552524023982149	-1.4537639194644092	-1.0985115170661943	-7.4934356285804595	6.2249751964392885
OLFR110	radius_k1	1	216	3	226	271	27	70	389	527	0.23217505682162723	1.3289255479376347	1.0967504911160075	-2.4951942565993748	4.232401479133389
SIRPB1A	radius_k1	1	458	5	479	332	312	101	871	710	-0.5574425655660777	-1.6516425533007726	-1.0941999877346948	-3.1312870278770077	1.1557123687568318
OLFR1417	radius_k1	1	337	2	359	579	12	42	583	678	0.659550799630675	1.7362686554264781	1.076717855795803	-3.8084640005061456	5.73308272470763
HMGB2	exact	1	51	2	57	24	58	52	58	52	-1.2600462977656661	-0.18538529285378094	1.0746610049118852	-0.18538529285378094	-0.18538529285378094
GNB2L1	exact	1	338	5	366	118	355	57	355	57	-1.658192230172052	-2.657481789611539	-0.999289559439487	-2.657481789611539	-2.657481789611539
HMGB2	best_k1	1	51	2	57	24	64	54	64	54	-1.2600462977656661	-0.2723090215828269	0.9877372761828392	-0.2723090215828269	-0.2723090215828269
HMGB2	radius_k1	1	51	2	57	24	64	54	64	54	-1.2600462977656661	-0.2723090215828269	0.9877372761828392	-0.2723090215828269	-0.2723090215828269
TSR2	exact	1	307	5	324	56	325	29	325	29	-2.55116179652045	-3.493136774740293	-0.941974978219843	-3.493136774740293	-3.493136774740293
PPP2R1A	exact	1	422	4	430	132	441	71	441	71	-1.7292869688827814	-2.6556643818065755	-0.926377412923794	-2.6556643818065755	-2.6556643818065755
DNLZ	exact	1	257	5	270	8	268	4	268	4	-5.021288033512975	-5.928119367479599	-0.9068313339666245	-5.928119367479599	-5.928119367479599
