policy	baseline_exact_minimum	pseudocount	primary	eligible_annotations	shift_ge_half_log2	shift_fraction	strong_sign_reversals	median_absolute_delta	max_absolute_delta	median_conditional_range_width	conditional_range_excludes_zero	normalization	reference	biological_FDR_or_hit_calling
exact	20	0.1	False	18738	73	0.0038958266623972675	0	0.029433765712648552	5.422991568784365	0.0	18738	input_read_totals	fixed_window_best_k1	False
radius_k1	20	0.1	False	18738	48	0.002561639449247518	0	0.0169804244018487	2.3499219075987474	0.0	18339	input_read_totals	fixed_window_best_k1	False
best_k1	20	0.1	False	18738	12	0.0006404098623118795	0	0.01655898804891831	1.4177552970506158	0.0	18731	input_read_totals	fixed_window_best_k1	False
exact	20	0.5	False	18738	72	0.0038424591738712775	0	0.029405927244463614	4.3802823578584125	0.0	18738	input_read_totals	fixed_window_best_k1	False
radius_k1	20	0.5	False	18738	48	0.002561639449247518	0	0.016956070062274384	2.3290286088637098	0.0	18339	input_read_totals	fixed_window_best_k1	False
best_k1	20	0.5	False	18738	12	0.0006404098623118795	0	0.01653343406206631	1.1455093313595501	0.0	18731	input_read_totals	fixed_window_best_k1	False
exact	20	1.0	False	18738	72	0.0038424591738712775	0	0.029380871703076766	3.987977471750787	0.0	18738	input_read_totals	fixed_window_best_k1	False
radius_k1	20	1.0	False	18738	46	0.0024549044721955387	0	0.01694072353502807	2.303527928338386	0.0	18339	input_read_totals	fixed_window_best_k1	False
best_k1	20	1.0	False	18738	11	0.0005870423737858897	0	0.016533163034039428	1.142185069364397	0.0	18731	input_read_totals	fixed_window_best_k1	False
exact	50	0.1	False	18721	71	0.003792532450189627	0	0.029425349562144043	4.809294038395389	0.0	18721	input_read_totals	fixed_window_best_k1	False
radius_k1	50	0.1	False	18721	48	0.002563965600128198	0	0.01696733861237748	2.3499219075987474	0.0	18323	input_read_totals	fixed_window_best_k1	False
best_k1	50	0.1	False	18721	12	0.0006409914000320495	0	0.01653389572670816	1.4177552970506158	0.0	18714	input_read_totals	fixed_window_best_k1	False
exact	50	0.5	True	18721	70	0.003739116500186956	0	0.029397624574098835	4.3802823578584125	0.0	18721	input_read_totals	fixed_window_best_k1	False
radius_k1	50	0.5	True	18721	48	0.002563965600128198	0	0.01695330211240542	2.3290286088637098	0.0	18323	input_read_totals	fixed_window_best_k1	False
best_k1	50	0.5	True	18721	12	0.0006409914000320495	0	0.016524312758114612	1.1455093313595501	0.0	18714	input_read_totals	fixed_window_best_k1	False
exact	50	1.0	False	18721	70	0.003739116500186956	0	0.02937335523839542	3.987977471750787	0.0	18721	input_read_totals	fixed_window_best_k1	False
radius_k1	50	1.0	False	18721	46	0.0024571337001228566	0	0.01692508683219962	2.303527928338386	0.0	18323	input_read_totals	fixed_window_best_k1	False
best_k1	50	1.0	False	18721	11	0.0005875754500293788	0	0.01650567072769038	1.142185069364397	0.0	18714	input_read_totals	fixed_window_best_k1	False
exact	100	0.1	False	18558	65	0.003502532600495743	0	0.029318120102160006	4.809294038395389	0.0	18558	input_read_totals	fixed_window_best_k1	False
radius_k1	100	0.1	False	18558	46	0.002478715378812372	0	0.01687963650799612	2.3499219075987474	0.0	18161	input_read_totals	fixed_window_best_k1	False
best_k1	100	0.1	False	18558	10	0.0005388511693070374	0	0.016451540071449666	1.4177552970506158	0.0	18551	input_read_totals	fixed_window_best_k1	False
exact	100	0.5	False	18558	64	0.003448647483565039	0	0.02926321860888531	4.3802823578584125	0.0	18558	input_read_totals	fixed_window_best_k1	False
radius_k1	100	0.5	False	18558	46	0.002478715378812372	0	0.016865707543921582	2.3290286088637098	0.0	18161	input_read_totals	fixed_window_best_k1	False
best_k1	100	0.5	False	18558	10	0.0005388511693070374	0	0.016441249898370314	1.1455093313595501	0.0	18551	input_read_totals	fixed_window_best_k1	False
exact	100	1.0	False	18558	64	0.003448647483565039	0	0.029226138532570695	3.987977471750787	0.0	18558	input_read_totals	fixed_window_best_k1	False
radius_k1	100	1.0	False	18558	44	0.0023709451449509646	0	0.01683835048425425	2.303527928338386	0.0	18161	input_read_totals	fixed_window_best_k1	False
best_k1	100	1.0	False	18558	9	0.00048496605237633366	0	0.016407028409383795	1.1081931976139807	0.0	18551	input_read_totals	fixed_window_best_k1	False
