accession	policy	resolution	unique	ambiguous	none	invalid
ERR376998	exact	guide	8870635	161286	1061984	0
ERR376998	exact	gene	9031919	2	1061984	0
ERR376998	exact	position	8870635	161286	1061984	0
ERR376998	radius_k1	guide	8623040	785465	685400	0
ERR376998	radius_k1	gene	9327033	81472	685400	0
ERR376998	radius_k1	position	8687253	721252	685400	0
ERR376998	best_k1	guide	9238068	170437	685400	0
ERR376998	best_k1	gene	9408051	454	685400	0
ERR376998	best_k1	position	9238427	170078	685400	0
ERR376999	exact	guide	8727284	152684	1420790	0
ERR376999	exact	gene	8879967	1	1420790	0
ERR376999	exact	position	8727284	152684	1420790	0
ERR376999	radius_k1	guide	8594091	775242	931425	0
ERR376999	radius_k1	gene	9283086	86247	931425	0
ERR376999	radius_k1	position	8661987	707346	931425	0
ERR376999	best_k1	guide	9204749	164584	931425	0
ERR376999	best_k1	gene	9368855	478	931425	0
ERR376999	best_k1	position	9205072	164261	931425	0
SRR8297997	exact	guide	8745892	6213	1069023	0
SRR8297997	exact	gene	8746140	5965	1069023	0
SRR8297997	exact	position	8745892	6213	1069023	0
SRR8297997	radius_k1	guide	9146555	143148	531425	0
SRR8297997	radius_k1	gene	9151127	138576	531425	0
SRR8297997	radius_k1	position	9262944	26759	531425	0
SRR8297997	best_k1	guide	9282354	7349	531425	0
SRR8297997	best_k1	gene	9282675	7028	531425	0
SRR8297997	best_k1	position	9282841	6862	531425	0
