run_accession	sample_alias	experiment_title	read_count	fastq_bytes
ERR309962	JM8_5_clone3-sc-2013-06-06T20:58:06Z-1643297	Illumina MiSeq paired end sequencing	320310	40663629;48172387
ERR309973	JM8_8_clone4-sc-2013-06-06T21:06:15Z-1643308	Illumina MiSeq paired end sequencing	387634	49225151;56680837
ERR309974	JM8_8_clone5-sc-2013-06-06T21:11:58Z-1643309	Illumina MiSeq paired end sequencing	407400	51775300;59936628
ERR309978	JM8_8_clone9-sc-2013-06-06T21:09:56Z-1643313	Illumina MiSeq paired end sequencing	435320	55103074;63986552
ERR309979	JM8_8_clone10-sc-2013-06-06T21:11:20Z-1643314	Illumina MiSeq paired end sequencing	478749	60489610;69498850
ERR309980	JM8_5_control-sc-2013-06-10T14:50:48Z-1645591	Illumina MiSeq paired end sequencing	420605	53407145;63184240
ERR309984	Control_set_2-sc-2013-06-06T20:57:32Z-1643294	Illumina MiSeq paired end sequencing	2815453	325076542;399242018
ERR338403	gPool_3_1-sc-2013-06-26T16:17:03Z-1654032	Illumina MiSeq paired end sequencing	445249	17561961;19345343
ERR363671	aTox_resistant_mESC_gLib1-sc-2013-08-30T13:51:20Z-1686807	Illumina MiSeq paired end sequencing	6190592	116782287;138981051
ERR369583	gRNA_site_2_against_26_GPI_genes_control_rep2-sc-2013-09-12T15:06:22Z-1692102	Illumina MiSeq paired end sequencing	2422662	118418885;170597131
ERR376999	Mouse_whole_genome_gRNA_v1_mESC_library_1-sc-2013-09-12T11:21:15Z-1691995	Illumina HiSeq 2000 sequencing	10300758	290645388
ERR377000	Mouse_whole_genome_gRNA_v1_mESC_library_2-sc-2013-09-12T11:21:21Z-1691996	Illumina HiSeq 2000 sequencing	10820594	305692488
ERR377002	Mouse_whole_genome_gRNA_v1_mESC_library_1-sc-2013-09-12T11:21:15Z-1691995	Illumina HiSeq 2000 sequencing	10393396	297070739
ERR377007	Flu_resistant_mESC_gLib1_2nd_round_10MOI-sc-2013-09-18T13:07:41Z-1692980	Illumina MiSeq paired end sequencing	1300604	24592333;27522078
ERR377015	Mouse_whole_genome_gRNA_v1_mESC_library_2-sc-2013-09-12T11:21:21Z-1691996	Illumina HiSeq 2000 sequencing	10468988	289224555
ERR377020	gRNA_site_1_against_26_GPI_genes_transfected_rep4-sc-2013-09-27T10:26:28Z-1710012	Illumina MiSeq paired end sequencing	2464252	77207239;106963245
