run_accession	sample_alias	experiment_title	read_count	fastq_bytes
SRR8292127	Calabrese_SetA_109_RepB_Vemurafenib_A375	Illumina HiSeq 2500 sequencing: Calabrese Set A screened with Vemurafenib using dCas9-VP64 in A375, Replicate B	4818253	111286320
SRR8293151	Calabrese_SetA_109_RepA_Selumetinib_Meljuso	Illumina HiSeq 2500 sequencing: Calabrese Set A screened with Selumetinib using dCas9-VP64 in MelJuSo, Replicate A	8482817	209233797
SRR8293156	Calabrese_SetB_109_RepB_Dropout_Meljuso	Illumina HiSeq 2500 sequencing: Dropout screen with Calabrese Set B using dCas9-VP64 in MelJuSo, Replicate B	30726380	723006934
SRR8293469	dCas9-VP64_RepB_Vemurafenib_A375	Illumina HiSeq 2500 sequencing: CRISPRa secondary pool screened with Vemurafenib using dCas9-VP64 in A375, Replicate B	38466858	818281082
SRR8293527	dCas9-only_RepA_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout CRISPRa screen with secondary pool using dCas9-only in A375, Replicate A	19635856	488382543
SRR8293574	dCas9-only_RepC_Vemurafenib_A375	Illumina HiSeq 2500 sequencing: CRISPRa secondary pool screened with Vemurafenib using dCas9-only in A375, Replicate C	19498951	410451286
SRR8293617	dCas9-VP64_RepC_Selumetinib_Meljuso	Illumina HiSeq 2500 sequencing: CRISPRa secondary pool screened with Selumetinib using dCas9-VP64 in MelJuSo, Replicate C	4778662	115713266
SRR8293869	Dolcetto_SetA_RepA_Dropout_HT29	Illumina HiSeq 2500 sequencing: Dropout screen with Dolcetto Set A in HT29, Replicate A	30461582	725735010
SRR8293870	Dolcetto_SetA_RepB_Dropout_HT29	Illumina HiSeq 2500 sequencing: Dropout screen with Dolcetto Set A in HT29, Replicate B	27691866	661611293
SRR8293877	Dolcetto_SetB_RepC_Dropout_HT29	Illumina HiSeq 2500 sequencing: Dropout screen with Dolcetto Set B in HT29, Replicate C	50769875	1345876622
SRR8297837	Brunello_mod_tracr_RepA_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Brunello and a modified tracr sequence in A375, Replicate A	13261470	354145013
SRR8297839	Brunello_mod_tracr_RepB_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Brunello and a modified tracr sequence in A375, Replicate B	17391687	462740187
SRR8297840	Brunello_mod_tracr_RepC_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Brunello and a modified tracr sequence in A375, Replicate C	53767239	1407091601
SRR8297998	Brunello_pDNA	Illumina HiSeq 2500 sequencing: Plasmid DNA for Brunello	60120685	2149323603
SRR8298000	orig_tracr_RepB_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with a tiling library using the original tracr in A375, Replicate B	29863166	855379178
SRR8298019	orig_tracr_RepA_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with a tiling library using the original tracr in A375, Replicate A	29707404	872138090
SRR8292133	Calabrese_SetA_109_RepA_Dropout_Meljuso	Illumina HiSeq 2500 sequencing: Dropout screen with Calabrese Set A using dCas9-VP64 in MelJuSo, Replicate A	14998228	361224401
SRR8292158	Calabrese_SetA_109_RepB_Dropout_Meljuso	Illumina HiSeq 2500 sequencing: Dropout screen with Calabrese Set A using dCas9-VP64 in MelJuSo, Replicate B	12270013	294745627
