scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
supplementary_event_exact_baseline	event_best	joint_best	ATP5E	4	4	-2.4725	-2.0074	0.46510000000000007	0.048886	0.068407	1106.0	1253.0	1	0	0.0011140000000000039	0.018406999999999993
supplementary_event_exact_baseline	event_best	joint_best	CBWD3	3	3	-3.014	-3.014	0.0	0.0501	0.049959	1195.0	1189.0	0	1	9.999999999999593e-05	4.099999999999937e-05
supplementary_event_exact_baseline	event_best	joint_best	GAGE1	4	4	-1.2427	-1.3786	-0.13590000000000013	0.018058	0.096312	714.0	1400.0	1	0	0.031942	0.04631199999999999
supplementary_event_exact_baseline	event_best	joint_best	MRPL45	4	4	-2.4887	-2.4887	0.0	0.0501	0.049994	1125.0	1118.0	0	1	9.999999999999593e-05	6.0000000000060005e-06
supplementary_event_exact_baseline	event_best	joint_best	PLGLB1	4	4	-0.95675	-1.4867	-0.5299499999999999	0.03526	0.318697	971.0	2086.0	1	0	0.014740000000000003	0.268697
supplementary_event_exact_baseline	event_best	joint_best	SDHD	4	4	-3.8659	-3.8657	0.00019999999999997797	0.050036	0.049907	1124.0	1116.0	0	1	3.599999999999437e-05	9.30000000000028e-05
supplementary_event_exact_baseline	event_best	joint_best	SPDYE2B	3	3	-3.0665	-2.5308	0.5356999999999998	0.031457	0.061513	986.0	1281.0	1	0	0.018543000000000004	0.011512999999999995
supplementary_event_exact_baseline	event_best	joint_best	SPDYE5	4	4	-2.4411	-2.7431	-0.30200000000000005	0.02711	0.050202	858.0	1123.0	1	0	0.022890000000000004	0.00020199999999999385
supplementary_event_exact_baseline	event_best	joint_best	TBC1D3	4	4	-1.9306	-1.4644	0.46620000000000017	0.044757	0.31292	1066.0	2074.0	1	0	0.005243000000000005	0.26292
supplementary_event_exact_baseline	event_best	joint_best	TBC1D3L	3	3	-3.2192	-2.1522	1.0669999999999997	0.008624	0.179229	484.0	1816.0	1	0	0.041376	0.12922899999999998
supplementary_event_exact_baseline	event_best	joint_best	TIMM23	4	4	-1.9266	-4.2765	-2.3499000000000003	0.561367	0.04335	2442.0	1048.0	0	1	0.5113669999999999	0.006650000000000003
