scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
full	event_best	joint_best	ATP5E	4	4	-2.4729	-2.0077	0.4652000000000003	0.048893	0.068469	1103.0	1253.0	1	0	0.0011070000000000038	0.018469
full	event_best	joint_best	CCDC115	4	4	-2.1981	-2.1979	0.00019999999999997797	0.04995	0.050075	1119.0	1115.0	1	0	5.000000000000143e-05	7.499999999999868e-05
full	event_best	joint_best	GAGE1	4	4	-1.243	-1.3789	-0.1358999999999999	0.018	0.096233	713.0	1398.0	1	0	0.032	0.046232999999999996
full	event_best	joint_best	PLGLB1	4	4	-0.95726	-1.4871	-0.5298400000000001	0.03516	0.318224	969.0	2080.0	1	0	0.014840000000000006	0.268224
full	event_best	joint_best	SPDYE2B	3	3	-3.0668	-2.5312	0.5356000000000001	0.03144	0.061719	984.0	1280.0	1	0	0.01856	0.011719
full	event_best	joint_best	SPDYE5	4	4	-2.4413	-2.7434	-0.3020999999999998	0.027115	0.050282	856.0	1121.0	1	0	0.022885000000000003	0.00028199999999999753
full	event_best	joint_best	TIMM23	4	4	-1.9271	-4.2768	-2.3496999999999995	0.560809	0.043487	2437.0	1047.0	0	1	0.510809	0.006513000000000005
full	joint_exact	joint_best	ABT1	4	4	-3.4234	-3.1196	0.30379999999999985	0.052377	0.049854	1160.0	1113.0	0	1	0.002376999999999997	0.0001460000000000003
full	joint_exact	joint_best	ALG1L2	4	4	-4.5856	-4.6542	-0.0686	0.052533	0.045899	1162.0	1068.0	0	1	0.0025330000000000005	0.0041010000000000005
full	joint_exact	joint_best	ARFRP1	4	4	-2.5603	-2.4163	0.14399999999999968	0.045961	0.054866	1099.0	1151.0	1	0	0.004039000000000001	0.004865999999999995
full	joint_exact	joint_best	ARID1A	4	4	-1.4836	-0.96213	0.52147	0.043826	0.217437	1083.0	1823.0	1	0	0.006174000000000006	0.167437
full	joint_exact	joint_best	ASNA1	4	4	-2.2707	-2.347	-0.07629999999999981	0.047717	0.061988	1110.0	1207.0	1	0	0.0022830000000000003	0.011987999999999999
full	joint_exact	joint_best	ATIC	4	4	-2.8293	-2.8321	-0.0028000000000001357	0.02012	0.062963	788.0	1224.0	1	0	0.029880000000000004	0.012963000000000002
full	joint_exact	joint_best	ATP5E	4	4	-3.1687	-2.0077	1.161	0.020435	0.068469	801.0	1253.0	1	0	0.029565000000000004	0.018469
full	joint_exact	joint_best	ATP6V1D	4	4	-3.5136	-3.3453	0.1682999999999999	0.00914	0.056279	484.0	1166.0	1	0	0.04086	0.006279
full	joint_exact	joint_best	ATP6V1G1	4	4	-3.4501	-3.4972	-0.04709999999999992	0.050966	0.046197	1153.0	1070.0	0	1	0.0009659999999999946	0.003803000000000001
