scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
full	event_best	joint_best	CGB2	3	3	-0.35873	0.18473	0.54346	1.0	1.0	6052.0	8325.0	0	0	0.95	0.95
full	event_best	joint_best	CT47A8	4	4	-0.5569	-2.028	-1.4711	0.704961	0.703323	2649.0	2646.0	0	0	0.6549609999999999	0.653323
full	event_best	joint_best	GAGE12J	4	4	0.54854	-0.017876	-0.566416	1.0	1.0	6269.0	6138.0	0	0	0.95	0.95
full	event_best	joint_best	IFNA10	4	4	-0.97603	-0.16385	0.8121799999999999	1.0	1.0	3438.0	3440.0	0	0	0.95	0.95
full	event_best	joint_best	IFNA21	4	4	-0.90805	-1.5941	-0.68605	0.343656	0.056656	2143.0	1167.0	0	0	0.29365600000000003	0.006655999999999995
full	event_best	joint_best	LOC102724862	4	4	-3.7772	-5.0239	-1.2467000000000001	0.006641	0.006641	365.0	365.0	1	1	0.043359	0.043359
full	event_best	joint_best	MBD3L2	3	3	-1.4575	-1.9777	-0.5202	0.290297	0.289291	2138.0	2134.0	0	0	0.24029700000000004	0.23929100000000003
full	event_best	joint_best	MZT2B	2	2	-0.47331	-1.2306	-0.7572899999999999	1.0	1.0	4346.0	4318.0	0	0	0.95	0.95
full	event_best	joint_best	NUDT11	3	3	-0.1968	0.39358	0.59038	1.0	1.0	12192.0	13024.0	0	0	0.95	0.95
full	event_best	joint_best	OR4F21	3	3	-2.7772	-4.0967	-1.3195000000000001	0.222333	0.353275	1947.0	2273.0	0	0	0.17233300000000001	0.303275
full	event_best	joint_best	OR4F29	3	3	-3.6197	-4.4122	-0.7925000000000004	0.077605	0.077379	1381.0	1381.0	0	0	0.02760499999999999	0.027379
full	event_best	joint_best	PLGLB1	4	4	-0.95726	-1.4871	-0.5298400000000001	0.03516	0.318224	969.0	2080.0	1	0	0.014840000000000006	0.268224
full	event_best	joint_best	SPANXA1	3	3	-0.39015	-1.3612	-0.97105	1.0	0.944866	5083.0	3191.0	0	0	0.95	0.8948659999999999
full	event_best	joint_best	SPDYE2B	3	3	-3.0668	-2.5312	0.5356000000000001	0.03144	0.061719	984.0	1280.0	1	0	0.01856	0.011719
full	event_best	joint_best	SPRR2A	3	3	-0.94173	-2.2739	-1.3321699999999999	0.281509	0.066796	2113.0	1318.0	0	0	0.23150900000000002	0.01679599999999999
full	event_best	joint_best	TBC1D3L	2	2	-2.1135	-1.5797	0.5338	0.18917	0.480931	2018.0	2559.0	0	0	0.13917000000000002	0.430931
full	event_best	joint_best	TIMM23	4	4	-1.9271	-4.2768	-2.3496999999999995	0.560809	0.043487	2437.0	1047.0	0	1	0.510809	0.006513000000000005
full	event_best	joint_best	TSR3	3	3	-0.2354	-0.97628	-0.74088	1.0	1.0	7421.0	4540.0	0	0	0.95	0.95
full	event_best	joint_best	USP17L11	4	4	-3.5385	-2.9296	0.6088999999999998	0.053566	0.165677	1147.0	1673.0	0	0	0.0035659999999999997	0.11567699999999999
full	event_best	joint_best	USP17L29	4	4	-2.4303	-3.078	-0.6476999999999999	0.04347	0.043487	1050.0	1046.0	1	1	0.006530000000000001	0.006513000000000005
full	event_exact	joint_exact	CT47A8	4	4	-1.0823	-2.0515	-0.9691999999999998	0.865697	0.844395	2907.0	2873.0	0	0	0.815697	0.794395
full	event_exact	joint_exact	LOC102724862	4	4	-4.7083	-5.2099	-0.5015999999999998	0.00916	0.00914	482.0	481.0	1	1	0.04084	0.04086
full	event_exact	joint_exact	MBD3L2	3	3	-1.4327	-1.949	-0.5163	0.309116	0.30927	2187.0	2187.0	0	0	0.259116	0.25927
full	joint_exact	joint_best	AAMP	4	4	-3.2037	-2.5222	0.6814999999999998	0.057771	0.056716	1206.0	1170.0	0	0	0.007771	0.006716
full	joint_exact	joint_best	AARS	4	4	-4.0634	-3.5173	0.5460999999999996	0.005579	0.003678	310.0	213.0	1	1	0.044421	0.046322
full	joint_exact	joint_best	ACTL6A	4	4	-4.1126	-3.4335	0.6790999999999996	0.003191	0.002703	196.0	130.0	1	1	0.046809	0.047297000000000006
full	joint_exact	joint_best	ACTR10	4	4	-6.9975	-5.6189	1.3785999999999996	0.003451	0.009808	208.0	474.0	1	1	0.046549	0.040192000000000005
full	joint_exact	joint_best	ACTR6	4	4	-3.7736	-3.0947	0.6789000000000001	0.126089	0.162642	1568.0	1660.0	0	0	0.076089	0.112642
full	joint_exact	joint_best	AHCY	3	3	-3.7471	-3.057	0.6901000000000002	0.024474	0.039462	913.0	1073.0	1	1	0.025526000000000004	0.010538000000000006
full	joint_exact	joint_best	AK6	4	4	-3.1661	-2.5468	0.6193	0.02437	0.036016	859.0	973.0	1	1	0.025630000000000003	0.013984000000000003
full	joint_exact	joint_best	ALYREF	2	2	-5.5758	-4.5452	1.0305999999999997	0.005943	0.006297	491.0	483.0	1	1	0.044057	0.043703000000000006
full	joint_exact	joint_best	ANAPC11	4	4	-4.5475	-3.9359	0.6116000000000001	0.000948	0.00327	32.0	162.0	1	1	0.049052000000000005	0.04673
full	joint_exact	joint_best	ANAPC2	4	4	-3.1077	-2.5326	0.5751	0.071601	0.095978	1307.0	1397.0	0	0	0.021600999999999995	0.04597799999999999
full	joint_exact	joint_best	ARID1A	4	4	-1.4836	-0.96213	0.52147	0.043826	0.217437	1083.0	1823.0	1	0	0.006174000000000006	0.167437
full	joint_exact	joint_best	ATAD5	4	4	-3.8277	-2.6766	1.1511	0.145633	0.370372	1634.0	2183.0	0	0	0.09563300000000001	0.320372
